,ride_date,ride_count,month,mm-dd,year,m_y
688,2020-11-21,6588,11,11-21,2020,11-2020
689,2020-11-22,4176,11,11-22,2020,11-2020
690,2020-11-23,5402,11,11-23,2020,11-2020
691,2020-11-24,2279,11,11-24,2020,11-2020
692,2020-11-25,2695,11,11-25,2020,11-2020
693,2020-11-26,3009,11,11-26,2020,11-2020
694,2020-11-27,4498,11,11-27,2020,11-2020
695,2020-11-28,6164,11,11-28,2020,11-2020
696,2020-11-29,4620,11,11-29,2020,11-2020
697,2020-11-30,3369,11,11-30,2020,11-2020
698,2020-12-01,3847,12,12-01,2020,12-2020
699,2020-12-02,4725,12,12-02,2020,12-2020
700,2020-12-03,4604,12,12-03,2020,12-2020
701,2020-12-04,5265,12,12-04,2020,12-2020
702,2020-12-05,5181,12,12-05,2020,12-2020
703,2020-12-06,3601,12,12-06,2020,12-2020
704,2020-12-07,4006,12,12-07,2020,12-2020
705,2020-12-08,4020,12,12-08,2020,12-2020
706,2020-12-09,5714,12,12-09,2020,12-2020
707,2020-12-10,6639,12,12-10,2020,12-2020
708,2020-12-11,3300,12,12-11,2020,12-2020
709,2020-12-12,2023,12,12-12,2020,12-2020
710,2020-12-13,4073,12,12-13,2020,12-2020
711,2020-12-14,3746,12,12-14,2020,12-2020
712,2020-12-15,4084,12,12-15,2020,12-2020
713,2020-12-16,3274,12,12-16,2020,12-2020
714,2020-12-17,3471,12,12-17,2020,12-2020
715,2020-12-18,4282,12,12-18,2020,12-2020
716,2020-12-19,4416,12,12-19,2020,12-2020
717,2020-12-20,3693,12,12-20,2020,12-2020
718,2020-12-21,3966,12,12-21,2020,12-2020
719,2020-12-22,4125,12,12-22,2020,12-2020
720,2020-12-23,3836,12,12-23,2020,12-2020
721,2020-12-24,1295,12,12-24,2020,12-2020
722,2020-12-25,679,12,12-25,2020,12-2020
723,2020-12-26,2021,12,12-26,2020,12-2020
724,2020-12-27,3006,12,12-27,2020,12-2020
725,2020-12-28,3138,12,12-28,2020,12-2020
726,2020-12-29,2250,12,12-29,2020,12-2020
727,2020-12-30,1564,12,12-30,2020,12-2020
728,2020-12-31,2258,12,12-31,2020,12-2020
729,2021-01-01,859,1,01-01,2021,1-2021
730,2021-01-02,1976,1,01-02,2021,1-2021
731,2021-01-03,2084,1,01-03,2021,1-2021
732,2021-01-04,2726,1,01-04,2021,1-2021
733,2021-01-05,3289,1,01-05,2021,1-2021
734,2021-01-06,3373,1,01-06,2021,1-2021
735,2021-01-07,3329,1,01-07,2021,1-2021
736,2021-01-08,3308,1,01-08,2021,1-2021
737,2021-01-09,4269,1,01-09,2021,1-2021
738,2021-01-10,2837,1,01-10,2021,1-2021
739,2021-01-11,2917,1,01-11,2021,1-2021
740,2021-01-12,3636,1,01-12,2021,1-2021
741,2021-01-13,3860,1,01-13,2021,1-2021
742,2021-01-14,3093,1,01-14,2021,1-2021
743,2021-01-15,3472,1,01-15,2021,1-2021
744,2021-01-16,2766,1,01-16,2021,1-2021
745,2021-01-17,2087,1,01-17,2021,1-2021
746,2021-01-18,3052,1,01-18,2021,1-2021
747,2021-01-19,2638,1,01-19,2021,1-2021
748,2021-01-20,2245,1,01-20,2021,1-2021
749,2021-01-21,3626,1,01-21,2021,1-2021
750,2021-01-22,2620,1,01-22,2021,1-2021
751,2021-01-23,2949,1,01-23,2021,1-2021
752,2021-01-24,2549,1,01-24,2021,1-2021
753,2021-01-25,2555,1,01-25,2021,1-2021
754,2021-01-26,1070,1,01-26,2021,1-2021
755,2021-01-27,1893,1,01-27,2021,1-2021
756,2021-01-28,2214,1,01-28,2021,1-2021
757,2021-01-29,2726,1,01-29,2021,1-2021
758,2021-01-30,1801,1,01-30,2021,1-2021
759,2021-01-31,350,1,01-31,2021,1-2021
760,2021-02-01,1491,2,02-01,2021,2-2021
761,2021-02-02,1928,2,02-02,2021,2-2021
762,2021-02-03,2253,2,02-03,2021,2-2021
763,2021-02-04,1410,2,02-04,2021,2-2021
764,2021-02-05,1015,2,02-05,2021,2-2021
765,2021-02-06,635,2,02-06,2021,2-2021
766,2021-02-07,506,2,02-07,2021,2-2021
767,2021-02-08,804,2,02-08,2021,2-2021
768,2021-02-09,1138,2,02-09,2021,2-2021
769,2021-02-10,1077,2,02-10,2021,2-2021
770,2021-02-11,1133,2,02-11,2021,2-2021
771,2021-02-12,1499,2,02-12,2021,2-2021
772,2021-02-13,565,2,02-13,2021,2-2021
773,2021-02-14,440,2,02-14,2021,2-2021
774,2021-02-15,294,2,02-15,2021,2-2021
775,2021-02-16,210,2,02-16,2021,2-2021
776,2021-02-17,473,2,02-17,2021,2-2021
777,2021-02-18,635,2,02-18,2021,2-2021
778,2021-02-19,765,2,02-19,2021,2-2021
779,2021-02-20,884,2,02-20,2021,2-2021
780,2021-02-21,716,2,02-21,2021,2-2021
781,2021-02-22,1246,2,02-22,2021,2-2021
782,2021-02-23,2426,2,02-23,2021,2-2021
783,2021-02-24,2768,2,02-24,2021,2-2021
784,2021-02-25,2784,2,02-25,2021,2-2021
785,2021-02-26,3449,2,02-26,2021,2-2021
786,2021-02-27,6445,2,02-27,2021,2-2021
787,2021-02-28,2972,2,02-28,2021,2-2021
788,2021-03-01,2956,3,03-01,2021,3-2021
789,2021-03-02,3606,3,03-02,2021,3-2021
790,2021-03-03,4995,3,03-03,2021,3-2021
791,2021-03-04,3530,3,03-04,2021,3-2021
792,2021-03-05,4759,3,03-05,2021,3-2021
793,2021-03-06,5997,3,03-06,2021,3-2021
794,2021-03-07,5732,3,03-07,2021,3-2021
795,2021-03-08,8000,3,03-08,2021,3-2021
796,2021-03-09,9323,3,03-09,2021,3-2021
797,2021-03-10,6613,3,03-10,2021,3-2021
798,2021-03-11,6830,3,03-11,2021,3-2021
799,2021-03-12,6391,3,03-12,2021,3-2021
800,2021-03-13,11451,3,03-13,2021,3-2021
801,2021-03-14,4743,3,03-14,2021,3-2021
802,2021-03-15,1928,3,03-15,2021,3-2021
803,2021-03-16,3757,3,03-16,2021,3-2021
804,2021-03-17,3288,3,03-17,2021,3-2021
805,2021-03-18,3218,3,03-18,2021,3-2021
806,2021-03-19,5903,3,03-19,2021,3-2021
807,2021-03-20,11537,3,03-20,2021,3-2021
808,2021-03-21,14736,3,03-21,2021,3-2021
809,2021-03-22,9977,3,03-22,2021,3-2021
810,2021-03-23,4592,3,03-23,2021,3-2021
811,2021-03-24,7239,3,03-24,2021,3-2021
812,2021-03-25,5338,3,03-25,2021,3-2021
813,2021-03-26,5460,3,03-26,2021,3-2021
814,2021-03-27,11364,3,03-27,2021,3-2021
815,2021-03-28,6531,3,03-28,2021,3-2021
816,2021-03-29,7884,3,03-29,2021,3-2021
817,2021-03-30,8661,3,03-30,2021,3-2021
818,2021-03-31,5577,3,03-31,2021,3-2021
819,2021-04-01,4748,4,04-01,2021,4-2021
820,2021-04-02,8069,4,04-02,2021,4-2021
821,2021-04-03,17529,4,04-03,2021,4-2021
822,2021-04-04,15486,4,04-04,2021,4-2021
823,2021-04-05,10061,4,04-05,2021,4-2021
824,2021-04-06,15197,4,04-06,2021,4-2021
825,2021-04-07,13761,4,04-07,2021,4-2021
826,2021-04-08,4569,4,04-08,2021,4-2021
827,2021-04-09,10838,4,04-09,2021,4-2021
828,2021-04-10,4654,4,04-10,2021,4-2021
829,2021-04-11,9595,4,04-11,2021,4-2021
830,2021-04-12,9706,4,04-12,2021,4-2021
831,2021-04-13,8782,4,04-13,2021,4-2021
832,2021-04-14,7262,4,04-14,2021,4-2021
833,2021-04-15,7484,4,04-15,2021,4-2021
834,2021-04-16,9555,4,04-16,2021,4-2021
835,2021-04-17,12302,4,04-17,2021,4-2021
836,2021-04-18,11641,4,04-18,2021,4-2021
837,2021-04-19,5766,4,04-19,2021,4-2021
838,2021-04-20,5461,4,04-20,2021,4-2021
839,2021-04-21,5590,4,04-21,2021,4-2021
840,2021-04-22,9332,4,04-22,2021,4-2021
841,2021-04-23,11591,4,04-23,2021,4-2021
842,2021-04-24,13032,4,04-24,2021,4-2021
843,2021-04-25,7535,4,04-25,2021,4-2021
844,2021-04-26,12488,4,04-26,2021,4-2021
845,2021-04-27,15867,4,04-27,2021,4-2021
846,2021-04-28,5697,4,04-28,2021,4-2021
847,2021-04-29,8297,4,04-29,2021,4-2021
848,2021-04-30,10399,4,04-30,2021,4-2021
849,2021-05-01,21177,5,05-01,2021,5-2021
850,2021-05-02,21592,5,05-02,2021,5-2021
851,2021-05-03,8385,5,05-03,2021,5-2021
852,2021-05-04,7755,5,05-04,2021,5-2021
853,2021-05-05,10526,5,05-05,2021,5-2021
854,2021-05-06,7848,5,05-06,2021,5-2021
855,2021-05-07,11031,5,05-07,2021,5-2021
856,2021-05-08,12664,5,05-08,2021,5-2021
857,2021-05-09,5937,5,05-09,2021,5-2021
858,2021-05-10,7716,5,05-10,2021,5-2021
859,2021-05-11,9223,5,05-11,2021,5-2021
860,2021-05-12,11231,5,05-12,2021,5-2021
861,2021-05-13,13830,5,05-13,2021,5-2021
862,2021-05-14,16909,5,05-14,2021,5-2021
863,2021-05-15,12782,5,05-15,2021,5-2021
864,2021-05-16,19870,5,05-16,2021,5-2021
865,2021-05-17,12533,5,05-17,2021,5-2021
866,2021-05-18,10369,5,05-18,2021,5-2021
867,2021-05-19,13105,5,05-19,2021,5-2021
868,2021-05-20,16953,5,05-20,2021,5-2021
869,2021-05-21,20354,5,05-21,2021,5-2021
870,2021-05-22,29253,5,05-22,2021,5-2021
871,2021-05-23,18203,5,05-23,2021,5-2021
872,2021-05-24,16508,5,05-24,2021,5-2021
873,2021-05-25,15535,5,05-25,2021,5-2021
874,2021-05-26,16720,5,05-26,2021,5-2021
875,2021-05-27,9501,5,05-27,2021,5-2021
876,2021-05-28,5565,5,05-28,2021,5-2021
877,2021-05-29,17626,5,05-29,2021,5-2021
878,2021-05-30,22124,5,05-30,2021,5-2021
879,2021-05-31,17974,5,05-31,2021,5-2021
